[Gene ID]	[Organism]	[Product Description]	
PF3D7_1100100	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1100200	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1101000	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), truncated	
PF3D7_1101900	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), truncated, pseudogene	
PF3D7_1115200	P. falciparum 3D7	SET domain protein, putative (SET7)	
PF3D7_1150400	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1200100	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1200400	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1200600	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR2CSA)	
PF3D7_1214200	P. falciparum 3D7	histone-lysine N-methyltransferase, putative (SET5)	
PF3D7_1219300	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1219400	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), pseudogene (VAR)	
PF3D7_1219500	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)	
PF3D7_1221000	P. falciparum 3D7	histone-lysine N-methyltransferase, H3 lysine-4 specific (SET10)	
PF3D7_1240200	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), pseudogene	
PF3D7_1240300	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1240400	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1240600	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1240900	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1255200	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1300100	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1300300	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1300800	P. falciparum 3D7	erythrocyte membrane protein 1-like (VAR-like)	
PF3D7_1322100	P. falciparum 3D7	variant-silencing SET protein (SETvs)	
PF3D7_1328800	P. falciparum 3D7	transcriptional regulatory protein sir2a (SIR2A)	
PF3D7_1372900	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)	
PF3D7_1373500	P. falciparum 3D7	erythrocyte membrane protein 1, PfEMP1 (VAR)	
PF3D7_1400100	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), truncated, pseudogene	
PF3D7_1451400	P. falciparum 3D7	transcriptional regulatory protein sir2b (Sir2B)	
PF3D7_1480100	P. falciparum 3D7	erythrocyte membrane protein 1 (PfEMP1), truncated, pseudogene
